pid,matched_aoi,matched_aid
1,"Nijō Castle, 二条城",43
2,"Nijō Castle, 二条城",43
3,"Nijō Castle, 二条城",43
7,"Nijō Castle, 二条城",43
8,"Nijō Castle, 二条城",43
9,"Nijō Castle, 二条城",43
10,"Nijō Castle, 二条城",43
11,"Nijō Castle, 二条城",43
12,"Nijō Castle, 二条城",43
17,"Nijō Castle, 二条城",43
18,"Nijō Castle, 二条城",43
19,"Nijō Castle, 二条城",43
20,"Nijō Castle, 二条城",43
21,"Nijō Castle, 二条城",43
22,"Nijō Castle, 二条城",43
24,"Nijō Castle, 二条城",43
25,"Nijō Castle, 二条城",43
26,"Nijō Castle, 二条城",43
27,"Nijō Castle, 二条城",43
28,"Nijō Castle, 二条城",43
29,"Nijō Castle, 二条城",43
41,"Nijō Castle, 二条城",43
42,"Nijō Castle, 二条城",43
43,"Nijō Castle, 二条城",43
44,"Nijō Castle, 二条城",43
46,"Nijō Castle, 二条城",43
48,"Okazaki Park, 岡崎公園",60
49,"Heian Shrine, 平安神宮",59
50,"Heian Shrine, 平安神宮",59
51,"Heian Shrine, 平安神宮",59
52,"Heian Shrine, 平安神宮",59
53,"Heian Shrine, 平安神宮",59
55,"Nanzen-ji, 南禅寺",58
57,"Nanzen-ji, 南禅寺",58
58,"Nanzen-ji, 南禅寺",58
59,"Nanzen-ji, 南禅寺",58
60,"Nanzen-ji, 南禅寺",58
66,"Nanzen-ji, 南禅寺",58
67,"Nanzen-ji, 南禅寺",58
68,"Nanzen-ji, 南禅寺",58
69,"Nanzen-ji, 南禅寺",58
79,"Kitano Tenmangū, 北野天満宮",33
80,"Kitano Tenmangū, 北野天満宮",33
81,"Kitano Tenmangū, 北野天満宮",33
82,"Kitano Tenmangū, 北野天満宮",33
83,"Kitano Tenmangū, 北野天満宮",33
84,"Kitano Tenmangū, 北野天満宮",33
85,"Kitano Tenmangū, 北野天満宮",33
86,"Kitano Tenmangū, 北野天満宮",33
87,"Kitano Tenmangū, 北野天満宮",33
88,"Kitano Tenmangū, 北野天満宮",33
89,"Kitano Tenmangū, 北野天満宮",33
90,"Kitano Tenmangū, 北野天満宮",33
91,"Kitano Tenmangū, 北野天満宮",33
92,"Kitano Tenmangū, 北野天満宮",33
95,"Kitano Tenmangū, 北野天満宮",33
96,"Kitano Tenmangū, 北野天満宮",33
97,"Kitano Tenmangū, 北野天満宮",33
101,"Kinkaku-ji, 金閣寺",30
103,"Kinkaku-ji, 金閣寺",30
104,"Kinkaku-ji, 金閣寺",30
105,"Kinkaku-ji, 金閣寺",30
106,"Kinkaku-ji, 金閣寺",30
107,"Kinkaku-ji, 金閣寺",30
108,"Kinkaku-ji, 金閣寺",30
109,"Kinkaku-ji, 金閣寺",30
110,"Kinkaku-ji, 金閣寺",30
116,"Kinkaku-ji, 金閣寺",30
117,"Kinkaku-ji, 金閣寺",30
118,"Kinkaku-ji, 金閣寺",30
119,"Kinkaku-ji, 金閣寺",30
120,"Kinkaku-ji, 金閣寺",30
121,"Kinkaku-ji, 金閣寺",30
122,"Kinkaku-ji, 金閣寺",30
123,"Kinkaku-ji, 金閣寺",30
124,"Kinkaku-ji, 金閣寺",30
125,"Kinkaku-ji, 金閣寺",30
126,"Kinkaku-ji, 金閣寺",30
127,"Kinkaku-ji, 金閣寺",30
128,"Kinkaku-ji, 金閣寺",30
129,"Kinkaku-ji, 金閣寺",30
130,"Kinkaku-ji, 金閣寺",30
131,"Kinkaku-ji, 金閣寺",30
132,"Kinkaku-ji, 金閣寺",30
133,"Kinkaku-ji, 金閣寺",30
134,"Kinkaku-ji, 金閣寺",30
135,"Kinkaku-ji, 金閣寺",30
136,"Kinkaku-ji, 金閣寺",30
138,"Shimogamo-Jinja, 下鴨神社",44
139,"Shimogamo-Jinja, 下鴨神社",44
140,"Shimogamo-Jinja, 下鴨神社",44
141,"Shimogamo-Jinja, 下鴨神社",44
142,"Shimogamo-Jinja, 下鴨神社",44
143,"Shimogamo-Jinja, 下鴨神社",44
144,"Shimogamo-Jinja, 下鴨神社",44
145,"Shimogamo-Jinja, 下鴨神社",44
146,"Shimogamo-Jinja, 下鴨神社",44
147,"Shimogamo-Jinja, 下鴨神社",44
148,"Shimogamo-Jinja, 下鴨神社",44
149,"Shōkoku-ji, 相国寺",40
151,"Kiyomizu-dera, 清水寺",68
152,"Kiyomizu-dera, 清水寺",68
153,"Kiyomizu-dera, 清水寺",68
154,"Kiyomizu-dera, 清水寺",68
155,"Kiyomizu-dera, 清水寺",68
156,"Kiyomizu-dera, 清水寺",68
157,"Kiyomizu-dera, 清水寺",68
158,"Kiyomizu-dera, 清水寺",68
159,"Kawaramachi Street, 河原町",88
160,"Kawaramachi Street, 河原町",88
161,"Chion-in, 知恩院",62
166,"Chion-in, 知恩院",62
167,"Maruyama Park, 円山公園",63
168,"Chion-in, 知恩院",62
169,"Chion-in, 知恩院",62
170,"Chion-in, 知恩院",62
171,"Chion-in, 知恩院",62
172,"Chion-in, 知恩院",62
173,"Chion-in, 知恩院",62
174,"Chion-in, 知恩院",62
175,"Shōren-in, 青蓮院",61
176,"Shōren-in, 青蓮院",61
186,"Yasaka Shrine, 八坂神社",64
188,"Kawaramachi Street, 河原町",88
189,"Maruyama Park, 円山公園",63
189,"Yasaka Shrine, 八坂神社",64
190,"Kawaramachi Street, 河原町",88
191,"Kawaramachi Street, 河原町",88
193,"Kenninji Temple, 建仁寺",71
194,"Kenninji Temple, 建仁寺",71
195,"Kenninji Temple, 建仁寺",71
197,"Kawaramachi Street, 河原町",88
199,"Gion, 祇園",72
200,"Gion, 祇園",72
202,"Gion, 祇園",72
203,"Gion, 祇園",72
205,"Kawaramachi Street, 河原町",88
206,"Gion, 祇園",72
207,"Kawaramachi Street, 河原町",88
208,"Kawaramachi Street, 河原町",88
209,"Kawaramachi Street, 河原町",88
210,"Kawaramachi Street, 河原町",88
211,"Kawaramachi Street, 河原町",88
212,"Kawaramachi Street, 河原町",88
213,"Kawaramachi Street, 河原町",88
214,"Kawaramachi Street, 河原町",88
215,"Kawaramachi Street, 河原町",88
216,"Kawaramachi Street, 河原町",88
217,"Kawaramachi Street, 河原町",88
222,"Kawaramachi Street, 河原町",88
231,"Kawaramachi Street, 河原町",88
232,"Gion, 祇園",72
232,"Kawaramachi Street, 河原町",88
233,"Kawaramachi Street, 河原町",88
234,"Kawaramachi Street, 河原町",88
235,"Kawaramachi Street, 河原町",88
236,"Gion, 祇園",72
239,"Kawaramachi Street, 河原町",88
240,"Kawaramachi Street, 河原町",88
241,"Kawaramachi Street, 河原町",88
242,"Kawaramachi Street, 河原町",88
243,"Kawaramachi Street, 河原町",88
244,"Kawaramachi Street, 河原町",88
245,"Kawaramachi Street, 河原町",88
246,"Kawaramachi Street, 河原町",88
247,"Kawaramachi Street, 河原町",88
248,"Kawaramachi Street, 河原町",88
249,"Kawaramachi Street, 河原町",88
250,"Kawaramachi Street, 河原町",88
251,"Kawaramachi Street, 河原町",88
252,"Kawaramachi Street, 河原町",88
253,"Kawaramachi Street, 河原町",88
254,"Kawaramachi Street, 河原町",88
256,"Kawaramachi Street, 河原町",88
258,"Kawaramachi Street, 河原町",88
259,"Kawaramachi Street, 河原町",88
260,"Kawaramachi Street, 河原町",88
261,"Kawaramachi Street, 河原町",88
262,"Kawaramachi Street, 河原町",88
263,"Kawaramachi Street, 河原町",88
264,"Kawaramachi Street, 河原町",88
265,"Kawaramachi Street, 河原町",88
269,"Kawaramachi Street, 河原町",88
270,"Kawaramachi Street, 河原町",88
271,"Kawaramachi Street, 河原町",88
272,"Kawaramachi Street, 河原町",88
273,"Kawaramachi Street, 河原町",88
274,"Kawaramachi Street, 河原町",88
275,"Kawaramachi Street, 河原町",88
276,"Kawaramachi Street, 河原町",88
278,"Kawaramachi Street, 河原町",88
279,"Kawaramachi Street, 河原町",88
281,"Kawaramachi Street, 河原町",88
282,"Kawaramachi Street, 河原町",88
283,"Kawaramachi Street, 河原町",88
290,"Yasaka Shrine, 八坂神社",64
292,"Yasaka Shrine, 八坂神社",64
293,"Gion, 祇園",72
294,"Gion, 祇園",72
295,"Yasaka Shrine, 八坂神社",64
296,"Gion, 祇園",72
300,"Gion, 祇園",72
303,"Gion, 祇園",72
305,"Kenninji Temple, 建仁寺",71
315,"Ryozen Kannon, 霊山観音",66
316,"Kōdaiji Temple, 高台寺",65
317,"Kōdaiji Temple, 高台寺",65
318,"Kōdaiji Temple, 高台寺",65
319,"Nineizaka, 二年坂",69
320,"Nineizaka, 二年坂",69
322,"Sanneizaka, 三年坂",70
323,"Sanneizaka, 三年坂",70
327,"Sanneizaka, 三年坂",70
339,"Fushimi Inari Taisha, 伏見稲荷大社",76
340,"Fushimi Inari Taisha, 伏見稲荷大社",76
348,"Fushimi Inari Taisha, 伏見稲荷大社",76
349,"Fushimi Inari Taisha, 伏見稲荷大社",76
350,"Fushimi Inari Taisha, 伏見稲荷大社",76
351,"Fushimi Inari Taisha, 伏見稲荷大社",76
352,"Fushimi Inari Taisha, 伏見稲荷大社",76
353,"Fushimi Inari Taisha, 伏見稲荷大社",76
354,"Fushimi Inari Taisha, 伏見稲荷大社",76
355,"Fushimi Inari Taisha, 伏見稲荷大社",76
356,"Fushimi Inari Taisha, 伏見稲荷大社",76
357,"Fushimi Inari Taisha, 伏見稲荷大社",76
358,"Fushimi Inari Taisha, 伏見稲荷大社",76
359,"Fushimi Inari Taisha, 伏見稲荷大社",76
360,"Fushimi Inari Taisha, 伏見稲荷大社",76
361,"Fushimi Inari Taisha, 伏見稲荷大社",76
362,"Fushimi Inari Taisha, 伏見稲荷大社",76
363,"Fushimi Inari Taisha, 伏見稲荷大社",76
364,"Fushimi Inari Taisha, 伏見稲荷大社",76
365,"Fushimi Inari Taisha, 伏見稲荷大社",76
366,"Fushimi Inari Taisha, 伏見稲荷大社",76
367,"Fushimi Inari Taisha, 伏見稲荷大社",76
368,"Fushimi Inari Taisha, 伏見稲荷大社",76
369,"Fushimi Inari Taisha, 伏見稲荷大社",76
370,"Fushimi Inari Taisha, 伏見稲荷大社",76
371,"Fushimi Inari Taisha, 伏見稲荷大社",76
372,"Fushimi Inari Taisha, 伏見稲荷大社",76
410,"Kyoto Tower, 京都タワー",81
413,"Higashi Honganji, 東本願寺",79
418,"Higashi Honganji, 東本願寺",79
419,"Higashi Honganji, 東本願寺",79
420,"Higashi Honganji, 東本願寺",79
421,"Higashi Honganji, 東本願寺",79
425,"Higashi Honganji, 東本願寺",79
432,"Kawaramachi Street, 河原町",88
433,"Kawaramachi Street, 河原町",88
434,"Kawaramachi Street, 河原町",88
435,"Higashiyama Jisho-ji, 銀閣寺",52
438,"Philosopher's Path, 哲学の道",54
439,"Higashiyama Jisho-ji, 銀閣寺",52
439,"Philosopher's Path, 哲学の道",54
440,"Philosopher's Path, 哲学の道",54
441,"Philosopher's Path, 哲学の道",54
442,"Philosopher's Path, 哲学の道",54
443,"Philosopher's Path, 哲学の道",54
446,"Higashiyama Jisho-ji, 銀閣寺",52
446,"Philosopher's Path, 哲学の道",54
447,"Higashiyama Jisho-ji, 銀閣寺",52
448,"Philosopher's Path, 哲学の道",54
449,"Philosopher's Path, 哲学の道",54
450,"Hōnen-in, 法然院",55
451,"Hōnen-in, 法然院",55
452,"Philosopher's Path, 哲学の道",54
453,"Philosopher's Path, 哲学の道",54
454,"Philosopher's Path, 哲学の道",54
455,"Philosopher's Path, 哲学の道",54
456,"Philosopher's Path, 哲学の道",54
457,"Philosopher's Path, 哲学の道",54
458,"Philosopher's Path, 哲学の道",54
459,"Philosopher's Path, 哲学の道",54
460,"Ninna-ji, 仁和寺",26
461,"Ninna-ji, 仁和寺",26
462,"Ninna-ji, 仁和寺",26
463,"Ninna-ji, 仁和寺",26
464,"Ninna-ji, 仁和寺",26
465,"Ninna-ji, 仁和寺",26
466,"Ninna-ji, 仁和寺",26
467,"Ninna-ji, 仁和寺",26
468,"Ninna-ji, 仁和寺",26
469,"Ninna-ji, 仁和寺",26
470,"Ninna-ji, 仁和寺",26
471,"Ninna-ji, 仁和寺",26
472,"Ninna-ji, 仁和寺",26
474,"Ninna-ji, 仁和寺",26
475,"Ninna-ji, 仁和寺",26
476,"Ninna-ji, 仁和寺",26
477,"Ninna-ji, 仁和寺",26
478,"Ninna-ji, 仁和寺",26
479,"Ninna-ji, 仁和寺",26
480,"Ninna-ji, 仁和寺",26
481,"Ninna-ji, 仁和寺",26
482,"Ninna-ji, 仁和寺",26
483,"Ninna-ji, 仁和寺",26
484,"Ninna-ji, 仁和寺",26
485,"Ninna-ji, 仁和寺",26
486,"Ninna-ji, 仁和寺",26
487,"Ninna-ji, 仁和寺",26
488,"Ninna-ji, 仁和寺",26
489,"Myōshinji Temple, 妙心寺",34
490,"Myōshinji Temple, 妙心寺",34
495,"Byodoin, 平等院",83
496,"Byodoin, 平等院",83
497,"Byodoin, 平等院",83
501,"Byodoin, 平等院",83
503,"Toji, 東寺",78
510,"Toji, 東寺",78
511,"Toji, 東寺",78
512,"Toji, 東寺",78
513,"Toji, 東寺",78
514,"Toji, 東寺",78
515,"Toji, 東寺",78
516,"Toji, 東寺",78
517,"Toji, 東寺",78
518,"Toji, 東寺",78
519,"Toji, 東寺",78
520,"Toji, 東寺",78
521,"Toji, 東寺",78
522,"Toji, 東寺",78
523,"Toji, 東寺",78
524,"Toji, 東寺",78
525,"Toji, 東寺",78
526,"Toji, 東寺",78
527,"Toji, 東寺",78
528,"Toji, 東寺",78
529,"Toji, 東寺",78
530,"Toji, 東寺",78
531,"Toji, 東寺",78
532,"Toji, 東寺",78
533,"Toji, 東寺",78
534,"Toji, 東寺",78
535,"Toji, 東寺",78
536,"Toji, 東寺",78
537,"Toji, 東寺",78
538,"Toji, 東寺",78
539,"Toji, 東寺",78
540,"Toji, 東寺",78
541,"Toji, 東寺",78
542,"Toji, 東寺",78
545,"Kawaramachi Street, 河原町",88
556,"Hōrin-ji, 法輪寺",12
559,"Arashiyama Bamboo Forest, 竹林の小径",13
559,"Arashiyama Station, 嵐山駅前",20
560,"Arashiyama Station, 嵐山駅前",20
561,"Arashiyama Station, 嵐山駅前",20
564,"Togetsu-kyō Bridge, 渡月橋",16
564,"Arashiyama Station, 嵐山駅前",20
574,"Kameyama Park, 嵐山公園 亀山地区",14
578,"Arashiyama Station, 嵐山駅前",20
579,"Togetsu-kyō Bridge, 渡月橋",16
579,"Arashiyama Station, 嵐山駅前",20
581,"Arashiyama Monkey Park Iwatayama, 嵐山モンキーパーク",11
582,"Arashiyama Park Nakanoshima Area, 嵐山公園 中之島地区",17
583,"Togetsu-kyō Bridge, 渡月橋",16
583,"Arashiyama Park Nakanoshima Area, 嵐山公園 中之島地区",17
584,"Togetsu-kyō Bridge, 渡月橋",16
