pid,matched_aoi,matched_aid
586,"Togetsu-kyō Bridge, 渡月橋",16
587,"Togetsu-kyō Bridge, 渡月橋",16
587,"Arashiyama Park Nakanoshima Area, 嵐山公園 中之島地区",17
588,"Togetsu-kyō Bridge, 渡月橋",16
588,"Arashiyama Park Nakanoshima Area, 嵐山公園 中之島地区",17
589,"Arashiyama Park Nakanoshima Area, 嵐山公園 中之島地区",17
590,"Togetsu-kyō Bridge, 渡月橋",16
590,"Arashiyama Park Nakanoshima Area, 嵐山公園 中之島地区",17
591,"Arashiyama Park Nakanoshima Area, 嵐山公園 中之島地区",17
592,"Tenryū-ji, 天龍寺",10
592,"Arashiyama Bamboo Forest, 竹林の小径",13
592,"Arashiyama Station, 嵐山駅前",20
593,"Arashiyama Bamboo Forest, 竹林の小径",13
593,"Arashiyama Station, 嵐山駅前",20
594,"Tenryū-ji, 天龍寺",10
594,"Arashiyama Bamboo Forest, 竹林の小径",13
594,"Arashiyama Station, 嵐山駅前",20
595,"Tenryū-ji, 天龍寺",10
595,"Arashiyama Bamboo Forest, 竹林の小径",13
595,"Arashiyama Station, 嵐山駅前",20
596,"Kameyama Park, 嵐山公園 亀山地区",14
597,"Ōkōchi Sansō, 大河内山荘庭園",15
598,"Ōkōchi Sansō, 大河内山荘庭園",15
599,"Ōkōchi Sansō, 大河内山荘庭園",15
600,"Tenryū-ji, 天龍寺",10
601,"Tenryū-ji, 天龍寺",10
601,"Kameyama Park, 嵐山公園 亀山地区",14
602,"Kameyama Park, 嵐山公園 亀山地区",14
603,"Arashiyama Bamboo Forest, 竹林の小径",13
604,"Ōkōchi Sansō, 大河内山荘庭園",15
605,"Arashiyama Bamboo Forest, 竹林の小径",13
606,"Tenryū-ji, 天龍寺",10
606,"Arashiyama Bamboo Forest, 竹林の小径",13
607,"Tenryū-ji, 天龍寺",10
607,"Arashiyama Bamboo Forest, 竹林の小径",13
608,"Tenryū-ji, 天龍寺",10
608,"Arashiyama Bamboo Forest, 竹林の小径",13
609,"Arashiyama Bamboo Forest, 竹林の小径",13
610,"Tenryū-ji, 天龍寺",10
610,"Arashiyama Bamboo Forest, 竹林の小径",13
611,"Tenryū-ji, 天龍寺",10
612,"Tenryū-ji, 天龍寺",10
612,"Arashiyama Station, 嵐山駅前",20
613,"Arashiyama Station, 嵐山駅前",20
614,"Tenryū-ji, 天龍寺",10
614,"Arashiyama Station, 嵐山駅前",20
615,"Tenryū-ji, 天龍寺",10
615,"Arashiyama Station, 嵐山駅前",20
616,"Tenryū-ji, 天龍寺",10
616,"Arashiyama Station, 嵐山駅前",20
617,"Tenryū-ji, 天龍寺",10
617,"Arashiyama Station, 嵐山駅前",20
618,"Tenryū-ji, 天龍寺",10
618,"Arashiyama Station, 嵐山駅前",20
619,"Tenryū-ji, 天龍寺",10
619,"Arashiyama Station, 嵐山駅前",20
620,"Tenryū-ji, 天龍寺",10
620,"Arashiyama Station, 嵐山駅前",20
621,"Arashiyama Station, 嵐山駅前",20
622,"Tenryū-ji, 天龍寺",10
622,"Arashiyama Station, 嵐山駅前",20
623,"Tenryū-ji, 天龍寺",10
623,"Arashiyama Station, 嵐山駅前",20
624,"Tenryū-ji, 天龍寺",10
625,"Tenryū-ji, 天龍寺",10
625,"Kameyama Park, 嵐山公園 亀山地区",14
626,"Tenryū-ji, 天龍寺",10
627,"Tenryū-ji, 天龍寺",10
628,"Arashiyama Station, 嵐山駅前",20
629,"Arashiyama Station, 嵐山駅前",20
630,"Arashiyama Station, 嵐山駅前",20
631,"Arashiyama Station, 嵐山駅前",20
632,"Ryōan-ji, 龍安寺",28
633,"Ryōan-ji, 龍安寺",28
634,"Ryōan-ji, 龍安寺",28
635,"Ryōan-ji, 龍安寺",28
636,"Ryōan-ji, 龍安寺",28
637,"Ryōan-ji, 龍安寺",28
638,"Ryōan-ji, 龍安寺",28
639,"Ryōan-ji, 龍安寺",28
640,"Ryōan-ji, 龍安寺",28
641,"Ryōan-ji, 龍安寺",28
642,"Ryōan-ji, 龍安寺",28
643,"Ryōan-ji, 龍安寺",28
644,"Ryōan-ji, 龍安寺",28
646,"Ryōan-ji, 龍安寺",28
647,"Ryōan-ji, 龍安寺",28
648,"Ryōan-ji, 龍安寺",28
649,"Ryōan-ji, 龍安寺",28
650,"Ryōan-ji, 龍安寺",28
652,京都御所,41
655,京都御所,41
656,京都御所,41
657,京都御所,41
658,京都御所,41
659,京都御所,41
660,京都御所,41
663,京都御所,41
664,京都御所,41
665,京都御所,41
666,京都御所,41
667,京都御所,41
668,京都御所,41
669,京都御所,41
670,京都御所,41
671,京都御所,41
672,京都御所,41
673,京都御所,41
674,京都御所,41
675,京都御所,41
676,京都御所,41
677,京都御所,41
678,京都御所,41
679,京都御所,41
680,京都御所,41
681,京都御所,41
682,京都御所,41
683,京都御所,41
684,京都御所,41
685,京都御所,41
686,京都御所,41
687,京都御所,41
688,京都御所,41
689,京都御所,41
690,京都御所,41
691,京都御所,41
692,京都御所,41
693,京都御所,41
694,京都御所,41
695,京都御所,41
696,京都御所,41
697,京都御所,41
698,京都御所,41
699,京都御所,41
701,"Rengeoin Sanjusangendo, 三十三間堂",73
706,"Rengeoin Sanjusangendo, 三十三間堂",73
707,"Rengeoin Sanjusangendo, 三十三間堂",73
708,"Rengeoin Sanjusangendo, 三十三間堂",73
709,"Rengeoin Sanjusangendo, 三十三間堂",73
710,"Rengeoin Sanjusangendo, 三十三間堂",73
711,"Rengeoin Sanjusangendo, 三十三間堂",73
718,"Ninna-ji, 仁和寺",26
734,"Chishaku-in, 智積院",74
735,"Chishaku-in, 智積院",74
736,"Chishaku-in, 智積院",74
737,"Chishaku-in, 智積院",74
738,"Chishaku-in, 智積院",74
739,"Chishaku-in, 智積院",74
748,"Tōfuku-ji, 東福寺",77
749,"Tōfuku-ji, 東福寺",77
750,"Tōfuku-ji, 東福寺",77
751,"Tōfuku-ji, 東福寺",77
752,"Tōfuku-ji, 東福寺",77
753,"Tōfuku-ji, 東福寺",77
754,"Tōfuku-ji, 東福寺",77
755,"Tōfuku-ji, 東福寺",77
756,"Tōfuku-ji, 東福寺",77
757,"Tōfuku-ji, 東福寺",77
758,"Tōfuku-ji, 東福寺",77
759,"Tōfuku-ji, 東福寺",77
760,"Tōfuku-ji, 東福寺",77
761,"Tōfuku-ji, 東福寺",77
762,"Tōfuku-ji, 東福寺",77
763,"Tōfuku-ji, 東福寺",77
764,"Tōfuku-ji, 東福寺",77
765,"Tōfuku-ji, 東福寺",77
766,"Tōfuku-ji, 東福寺",77
767,"Tōfuku-ji, 東福寺",77
768,"Tōfuku-ji, 東福寺",77
769,"Tōfuku-ji, 東福寺",77
770,"Tōfuku-ji, 東福寺",77
771,"Tōfuku-ji, 東福寺",77
772,"Tōfuku-ji, 東福寺",77
773,"Tōfuku-ji, 東福寺",77
774,"Tōfuku-ji, 東福寺",77
786,"Eikan-dō Zenrin-ji, 永観堂",57
787,"Eikan-dō Zenrin-ji, 永観堂",57
788,"Philosopher's Path, 哲学の道",54
789,"Philosopher's Path, 哲学の道",54
791,"Eikan-dō Zenrin-ji, 永観堂",57
792,"Eikan-dō Zenrin-ji, 永観堂",57
793,"Eikan-dō Zenrin-ji, 永観堂",57
795,"Eikan-dō Zenrin-ji, 永観堂",57
796,"Philosopher's Path, 哲学の道",54
797,"Philosopher's Path, 哲学の道",54
805,"Kōzan-ji, 高山寺",1
806,"Kōzan-ji, 高山寺",1
812,"Jingo-ji, 神護寺",2
813,"Jingo-ji, 神護寺",2
814,"Jingo-ji, 神護寺",2
815,"Jingo-ji, 神護寺",2
816,"Jingo-ji, 神護寺",2
819,"Shōkoku-ji, 相国寺",40
821,"Philosopher's Path, 哲学の道",54
822,"Philosopher's Path, 哲学の道",54
823,"Anrakuji, 安楽寺",56
824,"Philosopher's Path, 哲学の道",54
824,"Anrakuji, 安楽寺",56
856,"Kyoto Botanical Gardens, 京都府立植物園",37
857,"Kyoto Botanical Gardens, 京都府立植物園",37
858,"Kyoto Botanical Gardens, 京都府立植物園",37
859,"Kamigamo-jinja, 上賀茂神社",36
860,"Kamigamo-jinja, 上賀茂神社",36
862,"Kamigamo-jinja, 上賀茂神社",36
863,"Kamigamo-jinja, 上賀茂神社",36
864,"Kamigamo-jinja, 上賀茂神社",36
865,"Kamigamo-jinja, 上賀茂神社",36
866,"Kamigamo-jinja, 上賀茂神社",36
868,"Kawaramachi Street, 河原町",88
869,"Kawaramachi Street, 河原町",88
875,"Philosopher's Path, 哲学の道",54
877,"Philosopher's Path, 哲学の道",54
878,"Myōshinji Temple, 妙心寺",34
893,"Rokuo-in Temple, 鹿王院",21
894,"Rokuo-in Temple, 鹿王院",21
895,京都御所,41
896,"Daitoku-ji, 大徳寺",35
897,"Daitoku-ji, 大徳寺",35
898,"Daitoku-ji, 大徳寺",35
899,"Daitoku-ji, 大徳寺",35
900,"Daitoku-ji, 大徳寺",35
901,"Daitoku-ji, 大徳寺",35
908,"Gion, 祇園",72
915,"Toyokuni Shrine, 豊国神社",75
926,"Kyoto Ryozen Gokoku Shrine, 京都霊山護国神社",67
927,"Arashiyama Monkey Park Iwatayama, 嵐山モンキーパーク",11
928,"Arashiyama Monkey Park Iwatayama, 嵐山モンキーパーク",11
931,"Daitoku-ji, 大徳寺",35
932,"Daitoku-ji, 大徳寺",35
933,"Daitoku-ji, 大徳寺",35
936,"Jōjakkō-ji Temple, 常寂光寺",8
937,"Jōjakkō-ji Temple, 常寂光寺",8
938,"Jōjakkō-ji Temple, 常寂光寺",8
939,"Jōjakkō-ji Temple, 常寂光寺",8
940,"Jōjakkō-ji Temple, 常寂光寺",8
941,"Jōjakkō-ji Temple, 常寂光寺",8
942,"Jōjakkō-ji Temple, 常寂光寺",8
943,"Jōjakkō-ji Temple, 常寂光寺",8
944,"Jōjakkō-ji Temple, 常寂光寺",8
945,"Jōjakkō-ji Temple, 常寂光寺",8
946,"Jōjakkō-ji Temple, 常寂光寺",8
947,"Giouji Temple, 祇王寺",5
949,"Kawaramachi Street, 河原町",88
954,"Shugakuin Imperial Villa, 修学院離宮",49
957,"Kyoto Aquarium, 京都水族館",80
958,"Kyoto Aquarium, 京都水族館",80
959,"Kyoto Aquarium, 京都水族館",80
962,京都御所,41
965,"Daikaku-ji, 大覚寺",19
968,"Myōshinji Temple, 妙心寺",34
970,京都御所,41
974,"Kyoto Botanical Gardens, 京都府立植物園",37
975,"Kyoto Botanical Gardens, 京都府立植物園",37
997,"Kawaramachi Street, 河原町",88
1010,"Kawaramachi Street, 河原町",88
1011,"Kawaramachi Street, 河原町",88
1012,"Kawaramachi Street, 河原町",88
1016,"Shisen-dō, 詩仙堂",51
1018,"Kurama-dera, 鞍馬寺",46
1019,"Kurama-dera, 鞍馬寺",46
1028,"Sanzen-in Temple, 三千院",48
1029,"Sanzen-in Temple, 三千院",48
1030,"Sanzen-in Temple, 三千院",48
1031,"Sanzen-in Temple, 三千院",48
1032,"Sanzen-in Temple, 三千院",48
1033,"Sanzen-in Temple, 三千院",48
1034,"Sanzen-in Temple, 三千院",48
1035,"Sanzen-in Temple, 三千院",48
1046,"Daikaku-ji, 大覚寺",19
1047,"Daikaku-ji, 大覚寺",19
1048,"Daikaku-ji, 大覚寺",19
1049,"Daikaku-ji, 大覚寺",19
1050,"Daikaku-ji, 大覚寺",19
1051,"Daikaku-ji, 大覚寺",19
1052,"Daikaku-ji, 大覚寺",19
1053,"Myōshinji Temple, 妙心寺",34
1077,"Kawaramachi Street, 河原町",88
1097,"Daitoku-ji, 大徳寺",35
1112,"Hirano Shrine, 平野神社",32
1113,"Hirano Shrine, 平野神社",32
1114,"Hirano Shrine, 平野神社",32
1115,"Hirano Shrine, 平野神社",32
1116,"Hirano Shrine, 平野神社",32
1117,"Hirano Shrine, 平野神社",32
1118,"Hirano Shrine, 平野神社",32
1122,"Toei Kyoto Studio Park, 太秦映画村",23
1123,"Toei Kyoto Studio Park, 太秦映画村",23
1124,"Fushimi Inari Taisha, 伏見稲荷大社",76
1131,"Kifune Shrine, 貴船神社",45
1132,"Kifune Shrine, 貴船神社",45
1133,"Kifune Shrine, 貴船神社",45
1134,"Kifune Shrine, 貴船神社",45
1135,"Kifune Shrine, 貴船神社",45
1136,"Kifune Shrine, 貴船神社",45
1137,"Kifune Shrine, 貴船神社",45
1148,"Seimei-Jinja Shrine, 晴明神社",39
1149,"Seimei-Jinja Shrine, 晴明神社",39
1160,"Fushimi Inari Taisha, 伏見稲荷大社",76
1161,"Fushimi Inari Taisha, 伏見稲荷大社",76
1162,"Fushimi Inari Taisha, 伏見稲荷大社",76
1163,"Fushimi Inari Taisha, 伏見稲荷大社",76
1164,"Fushimi Inari Taisha, 伏見稲荷大社",76
1165,"Fushimi Inari Taisha, 伏見稲荷大社",76
1166,"Fushimi Inari Taisha, 伏見稲荷大社",76
1167,"Fushimi Inari Taisha, 伏見稲荷大社",76
1169,"Kenninji Temple, 建仁寺",71
1170,"Kenninji Temple, 建仁寺",71
1171,"Fushimi Inari Taisha, 伏見稲荷大社",76
1172,"Fushimi Inari Taisha, 伏見稲荷大社",76
1173,"Fushimi Inari Taisha, 伏見稲荷大社",76
1174,"Fushimi Inari Taisha, 伏見稲荷大社",76
1175,"Fushimi Inari Taisha, 伏見稲荷大社",76
1189,京都御所,41
1190,京都御所,41
1191,京都御所,41
1192,京都御所,41
1193,京都御所,41
1194,京都御所,41
1195,京都御所,41
1198,"Kameyama Park, 嵐山公園 亀山地区",14
1206,"Arashiyama Station, 嵐山駅前",20
1207,"Enryakuji, 延暦寺",0
1208,"Enryakuji, 延暦寺",0
1209,"Enryakuji, 延暦寺",0
1210,"Enryakuji, 延暦寺",0
1211,"Enryakuji, 延暦寺",0
1212,"Enryakuji, 延暦寺",0
1215,京都御所,41
1217,京都御所,41
1219,"Jingo-ji, 神護寺",2
1228,京都御所,41
1230,"Myōshinji Temple, 妙心寺",34
1241,"Daigoji, 醍醐寺",82
1242,"Daigoji, 醍醐寺",82
1243,"Daigoji, 醍醐寺",82
1244,"Daigoji, 醍醐寺",82
1245,"Daigoji, 醍醐寺",82
1246,"Daigoji, 醍醐寺",82
1247,"Daigoji, 醍醐寺",82
1248,"Daigoji, 醍醐寺",82
1249,"Daigoji, 醍醐寺",82
1266,"Okazaki Park, 岡崎公園",60
1269,"Kyoto University, 京都大学",53
1270,"Kyoto University, 京都大学",53
1271,"Kyoto University, 京都大学",53
1277,"Kyoto Botanical Gardens, 京都府立植物園",37
1278,"Kyoto Botanical Gardens, 京都府立植物園",37
1279,"Kyoto Botanical Gardens, 京都府立植物園",37
1290,"Fushimi Inari Taisha, 伏見稲荷大社",76
1291,"Fushimi Inari Taisha, 伏見稲荷大社",76
1292,"Seiryō-ji, 清涼寺",6
1293,"Seiryō-ji, 清涼寺",6
1294,"Seiryō-ji, 清涼寺",6
1305,"Kyoto University, 京都大学",53
1306,"Shugakuin Imperial Villa, 修学院離宮",49
1345,"Daigoji, 醍醐寺",82
1346,"Daigoji, 醍醐寺",82
1347,"Daigoji, 醍醐寺",82
1352,"Mibudera Temple, 壬生寺",89
1365,"Jakko-in Temple, 寂光院",47
1456,"Chishaku-in, 智積院",74
1457,"Chishaku-in, 智積院",74
1458,"Chishaku-in, 智積院",74
1493,"Kyoto Botanical Gardens, 京都府立植物園",37
1494,"Kyoto Botanical Gardens, 京都府立植物園",37
1495,"Kyoto Botanical Gardens, 京都府立植物園",37
